onset,offset,frame,note_f1_percent,returncode,status
0.08,0.1,0.25,80.1,0,OK
0.08,0.1,0.28,80.2,0,OK
0.08,0.1,0.31,80.3,0,OK
0.08,0.1,0.34,80.4,0,OK
0.09,0.1,0.25,80.2,0,OK
0.09,0.1,0.28,80.3,0,OK
0.09,0.1,0.31,80.4,0,OK
0.09,0.1,0.34,80.4,0,OK
0.1,0.1,0.25,80.3,0,OK
0.1,0.1,0.28,80.4,0,OK
0.1,0.1,0.31,80.4,0,OK
0.1,0.1,0.34,80.5,0,OK
0.11,0.1,0.25,80.3,0,OK
0.11,0.1,0.28,80.4,0,OK
0.11,0.1,0.31,80.4,0,OK
0.11,0.1,0.34,80.5,0,OK
0.12,0.1,0.25,80.3,0,OK
0.12,0.1,0.28,80.4,0,OK
0.12,0.1,0.31,80.4,0,OK
0.12,0.1,0.34,80.4,0,OK
0.13,0.1,0.25,80.3,0,OK
0.13,0.1,0.28,80.3,0,OK
0.13,0.1,0.31,80.3,0,OK
0.13,0.1,0.34,80.4,0,OK
